2019-10-05 12:07:47.764 [qtp268468188-34] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:11:47.784 [qtp268468188-19] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:11:56.695 [qtp268468188-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 12:11:58.015 [qtp268468188-34] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 12:11:58.975 [qtp268468188-30] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 12:11:59.923 [qtp268468188-34] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-tomarket
2019-10-05 12:12:01.288 [qtp268468188-19] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-05 12:12:02.746 [qtp268468188-18] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-setlimitorder
2019-10-05 12:12:04.963 [qtp268468188-19] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-settypeoforder
2019-10-05 12:12:05.724 [qtp268468188-36] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-05 12:12:06.648 [qtp268468188-36] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-executemarketorder
2019-10-05 12:12:21.794 [qtp268468188-26] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-logout
2019-10-05 12:14:11.148 [qtp268468188-20] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:20:50.284 [qtp268468188-22] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:20:53.633 [qtp268468188-20] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:26:51.433 [qtp268468188-30] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:26:55.409 [qtp268468188-32] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:30:46.271 [qtp219416103-25] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:30:49.361 [qtp219416103-16] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:32:42.037 [qtp268468188-19] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:32:45.501 [qtp268468188-25] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:39:03.983 [qtp268468188-21] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:39:09.063 [qtp268468188-16] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:45:48.402 [qtp268468188-17] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:45:52.575 [qtp268468188-17] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:45:54.282 [qtp268468188-29] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-todeposit 
2019-10-05 12:47:45.616 [qtp268468188-25] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
2019-10-05 12:47:48.677 [qtp268468188-19] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-towallet
2019-10-05 12:47:51.612 [qtp268468188-31] INFO  by.training.final.ServletLogger - username-Eve, role-user, command-todeposit 
2019-10-05 12:53:26.383 [qtp268468188-46] INFO  by.training.final.ServletLogger - username-unknown, role-unknown, command-login
